ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
184619323,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,M ,9,0,45-64,F,BLACK,987633.0,203880.0,40.726287775,-73.987796005
184622893,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B ,48,0,18-24,M,BLACK,1011751.0,246839.0,40.8441566,-73.900605449
184626748,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K ,72,0,25-44,M,WHITE HISPANIC,980499.0,175009.0,40.647043335,-74.01351851
184620551,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,107,0,25-44,M,BLACK,1036628.0,204948.0,40.72906475,-73.811020132
184619316,06/30/2018,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B ,47,0,25-44,M,BLACK,1026486.0,262591.0,40.887332818,-73.847250013
184616011,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K ,84,0,25-44,M,BLACK,989327.0,194192.0,40.69969571,-73.981691569
184616002,06/30/2018,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B ,44,0,25-44,M,BLACK HISPANIC,1006537.0,244511.0,40.837781618,-73.919457971
184614197,06/30/2018,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B ,43,0,45-64,M,ASIAN / PACIFIC ISLANDER,1020183.0,239283.0,40.823387291,-73.87017045
184611179,06/30/2018,106,"ASSAULT 2,1,PEACE OFFICER",106,FELONY ASSAULT,PL 1200800,F,K ,83,0,18-24,M,BLACK HISPANIC,1010569.0,191137.0,40.691272767,-73.905095622
184609025,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,104,0,25-44,M,WHITE HISPANIC,1011996.0,193343.0,40.697323365,-73.899940804
184629803,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K ,77,0,18-24,M,BLACK,1003508.0,185056.0,40.67459999,-73.930574822
184612059,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B ,43,0,18-24,F,WHITE HISPANIC,1025283.0,241020.0,40.828132637,-73.85173284
184626753,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K ,60,0,18-24,M,WHITE,993844.0,149402.0,40.576752988,-73.965464976
184609628,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,114,0,25-44,M,WHITE HISPANIC,1009826.0,215276.0,40.757530619,-73.907683131
184626779,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q ,107,0,25-44,F,AMERICAN INDIAN/ALASKAN NATIVE,1036004.0,197649.0,40.709034465,-73.813327653
184605629,06/30/2018,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,B ,47,0,45-64,M,WHITE HISPANIC,1029350.0,255614.0,40.86816897,-73.836939015
184629793,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,B ,42,0,25-44,M,BLACK,1012047.0,241054.0,40.828277529,-73.899559601
184634715,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,113,0,<18,M,BLACK,1048403.0,185653.0,40.676027116,-73.76871958
184625540,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q ,101,0,<18,M,BLACK,1053650.0,158969.0,40.602745951,-73.750077865
184608549,06/30/2018,106,"ASSAULT 2,1,PEACE OFFICER",106,FELONY ASSAULT,PL 1200800,F,M ,14,6,18-24,M,WHITE,986781.0,212761.0,40.750664208,-73.990866575
184608540,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K ,77,0,25-44,M,BLACK,995378.0,184107.0,40.67200915,-73.959885679
184604333,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,114,2,18-24,M,BLACK,999585.0,214041.0,40.754164551,-73.944651523
184614205,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M ,23,2,18-24,F,BLACK,999243.0,227082.0,40.789959275,-73.945856841
184608884,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q ,106,0,25-44,M,ASIAN / PACIFIC ISLANDER,1035029.0,188439.0,40.683760855,-73.816913845
184631330,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K ,77,97,25-44,M,BLACK,997317.0,186382.0,40.678250863,-73.952891293
184609966,06/30/2018,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,S ,120,0,45-64,M,WHITE HISPANIC,962419.0,173449.0,40.642735357,-74.078666353
184626754,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K ,67,0,18-24,M,BLACK,1005657.0,181039.0,40.663569288,-73.922840264
184630122,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,B ,44,0,25-44,M,BLACK,1005692.0,242273.0,40.831641048,-73.922518887
184626780,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q ,101,0,18-24,F,WHITE HISPANIC,1043920.0,156137.0,40.595043561,-73.785142445
184612067,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q ,114,0,25-44,F,BLACK,1003022.0,216518.0,40.760956654,-73.932239155
184618119,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q ,100,0,25-44,M,WHITE HISPANIC,1035366.0,160702.0,40.607626994,-73.815908939
184629676,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M ,33,0,18-24,M,BLACK HISPANIC,1001891.0,247864.0,40.846995125,-73.936239426
184629885,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B ,46,0,45-64,M,WHITE HISPANIC,1009262.0,247613.0,40.846288402,-73.90959847
184627747,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K ,81,0,25-44,M,WHITE HISPANIC,1001545.0,192836.0,40.695958362,-73.937631622
184626771,06/30/2018,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,M ,32,0,25-44,M,BLACK,1002131.0,240467.0,40.826692022,-73.935391684
184626740,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B ,52,0,25-44,M,BLACK HISPANIC,1012721.0,253539.0,40.862543023,-73.897071158
